This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cd, ln(Reynolds#)
6,0,6,125000,0.25,-12,0.172813,11.7360690162844
6,0,6,125000,0.25,-11,0.154139,11.7360690162844
6,0,6,125000,0.25,-10,0.136383,11.7360690162844
6,0,6,125000,0.25,-9,0.11698,11.7360690162844
6,0,6,125000,0.25,-8,0.093472,11.7360690162844
6,0,6,125000,0.25,-7,0.059744,11.7360690162844
6,0,6,125000,0.25,-6,0.034169,11.7360690162844
6,0,6,125000,0.25,-5,0.022486,11.7360690162844
6,0,6,125000,0.25,-4,0.017696,11.7360690162844
6,0,6,125000,0.25,-3,0.015205,11.7360690162844
6,0,6,125000,0.25,-2,0.013769,11.7360690162844
6,0,6,125000,0.25,-1,0.013006,11.7360690162844
6,0,6,125000,0.25,0,0.012765,11.7360690162844
6,0,6,125000,0.25,1,0.013008,11.7360690162844
6,0,6,125000,0.25,2,0.013774,11.7360690162844
6,0,6,125000,0.25,3,0.015215,11.7360690162844
6,0,6,125000,0.25,4,0.017713,11.7360690162844
6,0,6,125000,0.25,5,0.022522,11.7360690162844
6,0,6,125000,0.25,6,0.034253,11.7360690162844
6,0,6,125000,0.25,7,0.061772,11.7360690162844
6,0,6,125000,0.25,8,0.092585,11.7360690162844
6,0,6,125000,0.25,9,0.117164,11.7360690162844
6,0,6,125000,0.25,10,0.136537,11.7360690162844
6,0,6,125000,0.25,11,0.154026,11.7360690162844
