This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cm, ln(Reynolds#)
6,0,6,75000,0.9,12,-0.270341,11.2252433925184
6,0,6,75000,0.9,13,-0.284762,11.2252433925184
6,0,6,75000,0.9,14,-0.298649,11.2252433925184
6,0,6,75000,0.9,15,-0.312037,11.2252433925184
6,0,6,75000,0.9,16,-0.324957,11.2252433925184
6,0,6,75000,0.9,17,-0.337437,11.2252433925184
6,0,6,75000,0.9,18,-0.349497,11.2252433925184
6,0,6,75000,0.9,19,-0.361161,11.2252433925184
6,0,6,75000,0.9,20,-0.372447,11.2252433925184
6,0,6,125000,0.25,-20,0.121693,11.7360690162844
6,0,6,125000,0.25,-19,0.118101,11.7360690162844
6,0,6,125000,0.25,-18,0.114601,11.7360690162844
6,0,6,125000,0.25,-17,0.111215,11.7360690162844
6,0,6,125000,0.25,-16,0.10787,11.7360690162844
6,0,6,125000,0.25,-15,0.104451,11.7360690162844
6,0,6,125000,0.25,-14,0.101092,11.7360690162844
6,0,6,125000,0.25,-13,0.097548,11.7360690162844
6,0,6,125000,0.25,-12,0.093421,11.7360690162844
6,0,6,125000,0.25,-11,0.087763,11.7360690162844
6,0,6,125000,0.25,-10,0.081454,11.7360690162844
6,0,6,125000,0.25,-9,0.070501,11.7360690162844
6,0,6,125000,0.25,-8,0.048137,11.7360690162844
6,0,6,125000,0.25,-7,0.006369,11.7360690162844
6,0,6,125000,0.25,-6,-0.004702,11.7360690162844
6,0,6,125000,0.25,-5,-0.002727,11.7360690162844
6,0,6,125000,0.25,-4,-0.001584,11.7360690162844
6,0,6,125000,0.25,-3,-0.000962,11.7360690162844
6,0,6,125000,0.25,-2,-0.000584,11.7360690162844
6,0,6,125000,0.25,-1,-0.000335,11.7360690162844
6,0,6,125000,0.25,0,-0.000144,11.7360690162844
6,0,6,125000,0.25,1,4.7e-05,11.7360690162844
6,0,6,125000,0.25,2,0.000296,11.7360690162844
6,0,6,125000,0.25,3,0.000674,11.7360690162844
